issue_id,work_item_id,field,rule_code,severity,expected_message
WI-0002|R007|owner_role,WI-0002,owner_role,R007,medium,Active work requires an owner role.
WI-0003|R005|due_date,WI-0003,due_date,R005,high,Due date is before received date.
WI-0004|R003|priority,WI-0004,priority,R003,medium,Priority is not in the allowed list.
WI-0005|R006|completed_date,WI-0005,completed_date,R006,high,Completed work requires a completion date.
WI-0006|R010|source_reference,WI-0006,source_reference,R010,high,Source reference REF-1006 is duplicated.
WI-0007|R010|source_reference,WI-0007,source_reference,R010,high,Source reference REF-1006 is duplicated.
WI-0008|R008|amount,WI-0008,amount,R008,high,Amount must not be negative.
WI-0009|R009|currency,WI-0009,currency,R009,medium,A populated amount requires currency EUR.
WI-0010|R011|due_date,WI-0010,due_date,R011,high,Open work is overdue on the fixed assessment date.
WI-0011|R004|received_date,WI-0011,received_date,R004,high,Date must use ISO format YYYY-MM-DD.
WI-0012|R006|completed_date,WI-0012,completed_date,R006,medium,Non-completed work must not have a completion date.
WI-0013|R001|title,WI-0013,title,R001,medium,Required title is missing.
WI-0014|R002|status,WI-0014,status,R002,high,Status is not in the allowed list.
